Date,Circuit,Country,International,Tournament,CA_1,CA_2,CA_3,CA_4,CA_5,CA_6,CA_7,CA_8,Event_Link,Round_Code,Round,Motion,Infoslide,Topic_Area_1,Topic_Area_2,Topic_Area_3,Topic_Area_Specific_1
2015-11-22,IoNA,United Kingdom,0,Cambridge Women's Open,Srishti Krishnamoorthy,Olivia Sundberg Diez,Helena Ivanov,,,,,,,2,2,THBT social disgust is sufficient justification for censoring art.,,Art and Culture,Freedoms,Social Policy,Freedom of Expression
2015-11-22,IoNA,United Kingdom,0,Cambridge Women's Open,Srishti Krishnamoorthy,Olivia Sundberg Diez,Helena Ivanov,,,,,,,Open_Z,Open_Final,THR the Rise of the Rom-Com Genre.,,Art and Culture,Media,,
2015-11-13,IoNA,United Kingdom,2,Oxford IV,Steven Ramesh Rajavinothan,Helena Ivanov,Ben Sprung-Keyser,Marlena Valles,,,,,,Open_Y,Open_Semis,THBT after 50 years of ownership the state should have the right to repossess all works of painting or sculpture for the purpose of public display,,Art and Culture,Economics,,
2015-10-17,IoNA,United Kingdom,0,KCL IV,George Clay,Olivia Sundberg Diez,Oskar Pablo Avery,,,,,,,3,3,"THW introduce a tax on ""low brow"" entertainment in order to subsidise ""high brow"" art.",,Art and Culture,Economics,Minority Communities,
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,Masters_1,Masters_1,TH regrets the rise of art that celebrates gaining material wealth,,Art and Culture,,,
2016-01-01,International,Greece,3,WUDC,Manos Moschopoulos,Arinah Najwa,Chris Bisset,John McKee,Josh Zoffer,Sarah Balakrishnan,Tasneem Elias,,,2,2,THW prohibit private ownership of art deemed to be culturally or historically significant,,Art and Culture,Economics,,
2016-02-13,IoNA,United Kingdom,1,LSE Open,Karin Merckens,Simon Tunnicliffe,Kate Brooks,,,,,,,3,3,Assuming there are actors who fit the criteria: THIS HOUSE BELIEVES That film directors have a moral obligation to cast actors who share key lived experiences with the characters they play.,,Art and Culture,Minority Communities,Media,
2016-01-22,North America and Canada,Canada,0,NorthAms,Veenu Goswami,Alex Mechanick,Matt Summers,Aislin Flynn,,,,,,2,2,THS Chris Rock’s continued commitment to host the Oscars,,Art and Culture,Media,,
2015-08-03,Europe,Austria,2,EUDC,Christine Simpson,Michael Shapira,Amanda Moorghen,Emilia Carlqvist,Gavin Illsley,,,,,Open_X,Open_Quarters,TH would prohibit businesses from taking a public position on social issues,,Business,Politics,,
2015-04-19,North America and Canada,USA,2,HWS Round Robin,Sharmila Parmanand ,,,,,,,,,3,3,THW disallow exclusive private arbitration for contracts between corporations and individuals.,,Business,Criminal Justice System,,
2016-02-13,IoNA,Wales,0,Swansea Open,Craig McDonald,Elizabeth Chloe Romanis,,,,,,,,2,2,THW provide financial incentives (e.g. tax breaks) to companies that require skilled labour who hire non-graduates.,,Business,Economics,,
2016-01-22,North America and Canada,Canada,0,NorthAms,Veenu Goswami,Alex Mechanick,Matt Summers,Aislin Flynn,,,,,,1,1,THW require that companies with >15 employees give 50% of their voting rights to employees,,Business,,,
2015-11-13,IoNA,United Kingdom,2,Oxford IV,Steven Ramesh Rajavinothan,Helena Ivanov,Ben Sprung-Keyser,Marlena Valles,,,,,,3,3,This house would end penalty enhancements for hate crimes.,,Criminal Justice System,,,
2015-10-17,IoNA,United Kingdom,0,KCL IV,George Clay,Olivia Sundberg Diez,Oskar Pablo Avery,,,,,,,4,4,THBT criminal justice policy should be outsourced to technocrats instead of elected representatives.,,Criminal Justice System,Politics,,
2015-10-24,IoNA,United Kingdom,0,SOAS IV,Joe Dyer,Helena Ivanov,Michael Dunn-Goekjian,Jamie Batchelor,,,,,,2,2,THBT law enforcement organisations should never provide incentives to gang members to inform on their superiors (e.g. plea bargains or monetary rewards),,Criminal Justice System,Social Policy,,
2015-08-03,Europe,Austria,2,EUDC,Christine Simpson,Michael Shapira,Amanda Moorghen,Emilia Carlqvist,Gavin Illsley,,,,,8,8,TH believes that it is legitimate for individuals to punish people they deem to have committed online harassment by revealing their identity online.,,Criminal Justice System,,,
2015-08-03,Europe,Austria,2,EUDC,Christine Simpson,Michael Shapira,Amanda Moorghen,Emilia Carlqvist,Gavin Illsley,,,,,Open_Y,Open_Semis,TH would require all defendants in criminal cases to be represented only by state-employed lawyers.,,Criminal Justice System,,,
2015-01-01,International,Malaysia,3,WUDC,Shafiq Bazari,Jonathan Leader Maynard,Danique Van Koppenhagen,Sebastian Templeton,Engin Arikan,Brett Frazer,Madeline Schultz,,,Masters_2,Masters_2,THBT judges should deliberately misinterpret constitutions to protect important liberties,,Criminal Justice System,Freedoms,,
2016-01-01,International,Greece,3,WUDC,Manos Moschopoulos,Arinah Najwa,Chris Bisset,John McKee,Josh Zoffer,Sarah Balakrishnan,Tasneem Elias,,,9,9,THBT criminal punishments should be based only on the offenders' culpability rather than the damages caused by the criminal act or other outcomes derived from the punishment,Culpability is a measure of the degree to which a person can be held morally responsible for an offense.,Criminal Justice System,Morality,,
2016-02-13,IoNA,Wales,0,Swansea Open,Craig McDonald,Elizabeth Chloe Romanis,,,,,,,,4,4,"THR the criminalization of the reckless transmission of sexual infections (e.g. HIV, herpes and gonorrhoea) in England and Wales",Reckless transmission of a serious disease constitutes a criminal offence in English and Welsh Law. Reckless transmission occurs when an infected individual is aware of the risk of infecting another and they are careless in their approach to that risk. In 2004 a man was jailed for five years for recklessly infecting two sexual partners with HIV. In 2014 a man was jailed for fourteen months for recklessly infecting his girlfriend with genital herpes. In both circumstances the men had not properly / accurately informed their sexual partners of their sexual health problems. Using a Condom does not preclude the possibility that a person may be found guilty of recklessly transmitting a sexual infection.,Criminal Justice System,Social Movements,,
